pctChg1,pctChg2,pctChg3,pctChg4,pctChg5,pctChg6,pctChg7,pctChg8,pctChg9,pctChg10,pctChg11,pctChg12,pctChg13,pctChg14,y
0.747,8.462,-5.077,-5.446,-2.32,-1.539,3.097,-1.514,-3.326,0.415,3.603,-1.624,1.72,-6.271,0
8.462,-5.077,-5.446,-2.32,-1.539,3.097,-1.514,-3.326,0.415,3.603,-1.624,1.72,-6.271,2.742,0
-5.077,-5.446,-2.32,-1.539,3.097,-1.514,-3.326,0.415,3.603,-1.624,1.72,-6.271,2.742,-5.157,1
-5.446,-2.32,-1.539,3.097,-1.514,-3.326,0.415,3.603,-1.624,1.72,-6.271,2.742,-5.157,1.457,0
-2.32,-1.539,3.097,-1.514,-3.326,0.415,3.603,-1.624,1.72,-6.271,2.742,-5.157,1.457,-0.907,0
-1.539,3.097,-1.514,-3.326,0.415,3.603,-1.624,1.72,-6.271,2.742,-5.157,1.457,-0.907,2.158,0
3.097,-1.514,-3.326,0.415,3.603,-1.624,1.72,-6.271,2.742,-5.157,1.457,-0.907,2.158,6.008,0
-1.514,-3.326,0.415,3.603,-1.624,1.72,-6.271,2.742,-5.157,1.457,-0.907,2.158,6.008,1.989,1
-3.326,0.415,3.603,-1.624,1.72,-6.271,2.742,-5.157,1.457,-0.907,2.158,6.008,1.989,1.008,0
0.415,3.603,-1.624,1.72,-6.271,2.742,-5.157,1.457,-0.907,2.158,6.008,1.989,1.008,-1.263,0
3.603,-1.624,1.72,-6.271,2.742,-5.157,1.457,-0.907,2.158,6.008,1.989,1.008,-1.263,-1.817,0
-1.624,1.72,-6.271,2.742,-5.157,1.457,-0.907,2.158,6.008,1.989,1.008,-1.263,-1.817,-1.338,1
1.72,-6.271,2.742,-5.157,1.457,-0.907,2.158,6.008,1.989,1.008,-1.263,-1.817,-1.338,-5.454,0
-6.271,2.742,-5.157,1.457,-0.907,2.158,6.008,1.989,1.008,-1.263,-1.817,-1.338,-5.454,-1.327,1
2.742,-5.157,1.457,-0.907,2.158,6.008,1.989,1.008,-1.263,-1.817,-1.338,-5.454,-1.327,1.161,0
-5.157,1.457,-0.907,2.158,6.008,1.989,1.008,-1.263,-1.817,-1.338,-5.454,-1.327,1.161,-2.605,1
1.457,-0.907,2.158,6.008,1.989,1.008,-1.263,-1.817,-1.338,-5.454,-1.327,1.161,-2.605,0.112,0
-0.907,2.158,6.008,1.989,1.008,-1.263,-1.817,-1.338,-5.454,-1.327,1.161,-2.605,0.112,-3.098,1
2.158,6.008,1.989,1.008,-1.263,-1.817,-1.338,-5.454,-1.327,1.161,-2.605,0.112,-3.098,-4.545,0
6.008,1.989,1.008,-1.263,-1.817,-1.338,-5.454,-1.327,1.161,-2.605,0.112,-3.098,-4.545,-2.925,1
1.989,1.008,-1.263,-1.817,-1.338,-5.454,-1.327,1.161,-2.605,0.112,-3.098,-4.545,-2.925,5.36,1
1.008,-1.263,-1.817,-1.338,-5.454,-1.327,1.161,-2.605,0.112,-3.098,-4.545,-2.925,5.36,-1.458,1
-1.263,-1.817,-1.338,-5.454,-1.327,1.161,-2.605,0.112,-3.098,-4.545,-2.925,5.36,-1.458,2.051,1
-1.817,-1.338,-5.454,-1.327,1.161,-2.605,0.112,-3.098,-4.545,-2.925,5.36,-1.458,2.051,-2.609,0
-1.338,-5.454,-1.327,1.161,-2.605,0.112,-3.098,-4.545,-2.925,5.36,-1.458,2.051,-2.609,5.169,0
-5.454,-1.327,1.161,-2.605,0.112,-3.098,-4.545,-2.925,5.36,-1.458,2.051,-2.609,5.169,5.588,0
-1.327,1.161,-2.605,0.112,-3.098,-4.545,-2.925,5.36,-1.458,2.051,-2.609,5.169,5.588,0.341,0
1.161,-2.605,0.112,-3.098,-4.545,-2.925,5.36,-1.458,2.051,-2.609,5.169,5.588,0.341,-4.999,0
-2.605,0.112,-3.098,-4.545,-2.925,5.36,-1.458,2.051,-2.609,5.169,5.588,0.341,-4.999,-4.168,1
0.112,-3.098,-4.545,-2.925,5.36,-1.458,2.051,-2.609,5.169,5.588,0.341,-4.999,-4.168,3.658,0
-3.098,-4.545,-2.925,5.36,-1.458,2.051,-2.609,5.169,5.588,0.341,-4.999,-4.168,3.658,-9.404,0
-4.545,-2.925,5.36,-1.458,2.051,-2.609,5.169,5.588,0.341,-4.999,-4.168,3.658,-9.404,1.099,0
